source_key,target_note,offset_cents,display_mapping,tuning_name
C2,C2,00,C2=C2+00 cents,persian_homayun_d_approx
C+2,C+2,00,C+2=C+2+00 cents,persian_homayun_d_approx
D2,D2,00,D2=D2+00 cents,persian_homayun_d_approx
D+2,D+2,00,D+2=D+2+00 cents,persian_homayun_d_approx
E2,D+2,50,E2=D+2+50 cents,persian_homayun_d_approx
F2,F2,00,F2=F2+00 cents,persian_homayun_d_approx
F+2,F+2,00,F+2=F+2+00 cents,persian_homayun_d_approx
G2,G2,00,G2=G2+00 cents,persian_homayun_d_approx
G+2,G+2,00,G+2=G+2+00 cents,persian_homayun_d_approx
A2,G+2,65,A2=G+2+65 cents,persian_homayun_d_approx
A+2,A+2,00,A+2=A+2+00 cents,persian_homayun_d_approx
B2,A+2,50,B2=A+2+50 cents,persian_homayun_d_approx
C3,C3,00,C3=C3+00 cents,persian_homayun_d_approx
C+3,C+3,00,C+3=C+3+00 cents,persian_homayun_d_approx
D3,D3,00,D3=D3+00 cents,persian_homayun_d_approx
D+3,D+3,00,D+3=D+3+00 cents,persian_homayun_d_approx
E3,D+3,50,E3=D+3+50 cents,persian_homayun_d_approx
F3,F3,00,F3=F3+00 cents,persian_homayun_d_approx
F+3,F+3,00,F+3=F+3+00 cents,persian_homayun_d_approx
G3,G3,00,G3=G3+00 cents,persian_homayun_d_approx
G+3,G+3,00,G+3=G+3+00 cents,persian_homayun_d_approx
A3,G+3,65,A3=G+3+65 cents,persian_homayun_d_approx
A+3,A+3,00,A+3=A+3+00 cents,persian_homayun_d_approx
B3,A+3,50,B3=A+3+50 cents,persian_homayun_d_approx
C4,C4,00,C4=C4+00 cents,persian_homayun_d_approx
C+4,C+4,00,C+4=C+4+00 cents,persian_homayun_d_approx
D4,D4,00,D4=D4+00 cents,persian_homayun_d_approx
D+4,D+4,00,D+4=D+4+00 cents,persian_homayun_d_approx
E4,D+4,50,E4=D+4+50 cents,persian_homayun_d_approx
F4,F4,00,F4=F4+00 cents,persian_homayun_d_approx
F+4,F+4,00,F+4=F+4+00 cents,persian_homayun_d_approx
G4,G4,00,G4=G4+00 cents,persian_homayun_d_approx
G+4,G+4,00,G+4=G+4+00 cents,persian_homayun_d_approx
A4,G+4,65,A4=G+4+65 cents,persian_homayun_d_approx
A+4,A+4,00,A+4=A+4+00 cents,persian_homayun_d_approx
B4,A+4,50,B4=A+4+50 cents,persian_homayun_d_approx
C5,C5,00,C5=C5+00 cents,persian_homayun_d_approx
C+5,C+5,00,C+5=C+5+00 cents,persian_homayun_d_approx
D5,D5,00,D5=D5+00 cents,persian_homayun_d_approx
D+5,D+5,00,D+5=D+5+00 cents,persian_homayun_d_approx
E5,D+5,50,E5=D+5+50 cents,persian_homayun_d_approx
F5,F5,00,F5=F5+00 cents,persian_homayun_d_approx
F+5,F+5,00,F+5=F+5+00 cents,persian_homayun_d_approx
G5,G5,00,G5=G5+00 cents,persian_homayun_d_approx
G+5,G+5,00,G+5=G+5+00 cents,persian_homayun_d_approx
A5,G+5,65,A5=G+5+65 cents,persian_homayun_d_approx
A+5,A+5,00,A+5=A+5+00 cents,persian_homayun_d_approx
B5,A+5,50,B5=A+5+50 cents,persian_homayun_d_approx
C6,C6,00,C6=C6+00 cents,persian_homayun_d_approx
C+6,C+6,00,C+6=C+6+00 cents,persian_homayun_d_approx
D6,D6,00,D6=D6+00 cents,persian_homayun_d_approx
D+6,D+6,00,D+6=D+6+00 cents,persian_homayun_d_approx
E6,D+6,50,E6=D+6+50 cents,persian_homayun_d_approx
F6,F6,00,F6=F6+00 cents,persian_homayun_d_approx
F+6,F+6,00,F+6=F+6+00 cents,persian_homayun_d_approx
G6,G6,00,G6=G6+00 cents,persian_homayun_d_approx
G+6,G+6,00,G+6=G+6+00 cents,persian_homayun_d_approx
A6,G+6,65,A6=G+6+65 cents,persian_homayun_d_approx
A+6,A+6,00,A+6=A+6+00 cents,persian_homayun_d_approx
B6,A+6,50,B6=A+6+50 cents,persian_homayun_d_approx
C7,C7,00,C7=C7+00 cents,persian_homayun_d_approx
