source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,B1,98,65.33,C2=B1+98 cents,turkish_hicaz_g_aeu_approx
C+2,C+2,00,69.30,C+2=C+2+00 cents,turkish_hicaz_g_aeu_approx
D2,D2,02,73.50,D2=D2+02 cents,turkish_hicaz_g_aeu_approx
D+2,D+2,14,78.41,D+2=D+2+14 cents,turkish_hicaz_g_aeu_approx
E2,E2,00,82.41,E2=E2+00 cents,turkish_hicaz_g_aeu_approx
F2,E2,88,86.70,F2=E2+88 cents,turkish_hicaz_g_aeu_approx
F+2,F+2,00,92.50,F+2=F+2+00 cents,turkish_hicaz_g_aeu_approx
G2,G2,00,98.00,G2=G2+00 cents,turkish_hicaz_g_aeu_approx
G+2,G+2,13,104.61,G+2=G+2+13 cents,turkish_hicaz_g_aeu_approx
A2,A2,00,110.00,A2=A2+00 cents,turkish_hicaz_g_aeu_approx
A+2,A+2,00,116.54,A+2=A+2+00 cents,turkish_hicaz_g_aeu_approx
B2,A+2,86,122.48,B2=A+2+86 cents,turkish_hicaz_g_aeu_approx
C3,B2,98,130.66,C3=B2+98 cents,turkish_hicaz_g_aeu_approx
C+3,C+3,00,138.59,C+3=C+3+00 cents,turkish_hicaz_g_aeu_approx
D3,D3,02,147.00,D3=D3+02 cents,turkish_hicaz_g_aeu_approx
D+3,D+3,14,156.83,D+3=D+3+14 cents,turkish_hicaz_g_aeu_approx
E3,E3,00,164.81,E3=E3+00 cents,turkish_hicaz_g_aeu_approx
F3,E3,88,173.41,F3=E3+88 cents,turkish_hicaz_g_aeu_approx
F+3,F+3,00,185.00,F+3=F+3+00 cents,turkish_hicaz_g_aeu_approx
G3,G3,00,196.00,G3=G3+00 cents,turkish_hicaz_g_aeu_approx
G+3,G+3,13,209.22,G+3=G+3+13 cents,turkish_hicaz_g_aeu_approx
A3,A3,00,220.00,A3=A3+00 cents,turkish_hicaz_g_aeu_approx
A+3,A+3,00,233.08,A+3=A+3+00 cents,turkish_hicaz_g_aeu_approx
B3,A+3,86,244.95,B3=A+3+86 cents,turkish_hicaz_g_aeu_approx
C4,B3,98,261.32,C4=B3+98 cents,turkish_hicaz_g_aeu_approx
C+4,C+4,00,277.18,C+4=C+4+00 cents,turkish_hicaz_g_aeu_approx
D4,D4,02,294.00,D4=D4+02 cents,turkish_hicaz_g_aeu_approx
D+4,D+4,14,313.65,D+4=D+4+14 cents,turkish_hicaz_g_aeu_approx
E4,E4,00,329.63,E4=E4+00 cents,turkish_hicaz_g_aeu_approx
F4,E4,88,346.82,F4=E4+88 cents,turkish_hicaz_g_aeu_approx
F+4,F+4,00,369.99,F+4=F+4+00 cents,turkish_hicaz_g_aeu_approx
G4,G4,00,392.00,G4=G4+00 cents,turkish_hicaz_g_aeu_approx
G+4,G+4,13,418.43,G+4=G+4+13 cents,turkish_hicaz_g_aeu_approx
A4,A4,00,440.00,A4=A4+00 cents,turkish_hicaz_g_aeu_approx
A+4,A+4,00,466.16,A+4=A+4+00 cents,turkish_hicaz_g_aeu_approx
B4,A+4,86,489.91,B4=A+4+86 cents,turkish_hicaz_g_aeu_approx
C5,B4,98,522.65,C5=B4+98 cents,turkish_hicaz_g_aeu_approx
C+5,C+5,00,554.37,C+5=C+5+00 cents,turkish_hicaz_g_aeu_approx
D5,D5,02,588.01,D5=D5+02 cents,turkish_hicaz_g_aeu_approx
D+5,D+5,14,627.31,D+5=D+5+14 cents,turkish_hicaz_g_aeu_approx
E5,E5,00,659.26,E5=E5+00 cents,turkish_hicaz_g_aeu_approx
F5,E5,88,693.63,F5=E5+88 cents,turkish_hicaz_g_aeu_approx
F+5,F+5,00,739.99,F+5=F+5+00 cents,turkish_hicaz_g_aeu_approx
G5,G5,00,783.99,G5=G5+00 cents,turkish_hicaz_g_aeu_approx
G+5,G+5,13,836.87,G+5=G+5+13 cents,turkish_hicaz_g_aeu_approx
A5,A5,00,880.00,A5=A5+00 cents,turkish_hicaz_g_aeu_approx
A+5,A+5,00,932.33,A+5=A+5+00 cents,turkish_hicaz_g_aeu_approx
B5,A+5,86,979.81,B5=A+5+86 cents,turkish_hicaz_g_aeu_approx
C6,B5,98,1045.29,C6=B5+98 cents,turkish_hicaz_g_aeu_approx
C+6,C+6,00,1108.73,C+6=C+6+00 cents,turkish_hicaz_g_aeu_approx
D6,D6,02,1176.02,D6=D6+02 cents,turkish_hicaz_g_aeu_approx
D+6,D+6,14,1254.61,D+6=D+6+14 cents,turkish_hicaz_g_aeu_approx
E6,E6,00,1318.51,E6=E6+00 cents,turkish_hicaz_g_aeu_approx
F6,E6,88,1387.26,F6=E6+88 cents,turkish_hicaz_g_aeu_approx
F+6,F+6,00,1479.98,F+6=F+6+00 cents,turkish_hicaz_g_aeu_approx
G6,G6,00,1567.98,G6=G6+00 cents,turkish_hicaz_g_aeu_approx
G+6,G+6,13,1673.74,G+6=G+6+13 cents,turkish_hicaz_g_aeu_approx
A6,A6,00,1760.00,A6=A6+00 cents,turkish_hicaz_g_aeu_approx
A+6,A+6,00,1864.66,A+6=A+6+00 cents,turkish_hicaz_g_aeu_approx
B6,A+6,86,1959.62,B6=A+6+86 cents,turkish_hicaz_g_aeu_approx
C7,B6,98,2090.59,C7=B6+98 cents,turkish_hicaz_g_aeu_approx
